,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,age,address,postcode,state,country,property_valuation,transaction_id,product_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit
3070,2661,Dorrie,Meaden,Female,59.0,VP Marketing,Financial Services,High Net Worth,N,Yes,12.0,46.0,17 South Crossing,2770.0,NSW,Australia,7.0,3139,90,2017-02-27,1,Approved,Solex,Standard,low,medium,945.04,507.58,2010-06-07,437.46
3072,47,Matthew,Jeaycock,Male,51.0,Registered Nurse,Health,Affluent Customer,N,No,2.0,30.0,543 Killdeer Park,2322.0,New South Wales,Australia,4.0,3141,10,2017-07-26,1,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,2014-03-03,1103.43
3077,3165,Vyky,Coppen,Female,56.0,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,Yes,10.0,48.0,49956 Hovde Crossing,2745.0,NSW,Australia,9.0,3146,47,2017-06-25,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2001-11-25,189.27999999999997
3078,3089,Wood,Nathan,Male,27.0,Web Developer III,Manufacturing,Affluent Customer,N,Yes,2.0,23.0,7 Westridge Terrace,4504.0,QLD,Australia,7.0,3147,39,2017-07-22,1,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,2008-03-19,1230.27
3079,1227,Carlina,Pencot,Female,63.0,Software Engineer I,IT,Affluent Customer,N,Yes,12.0,33.0,01 Cottonwood Junction,2285.0,NSW,Australia,7.0,3148,66,2017-10-18,0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2016-12-06,64.92999999999995
3080,303,Shane,Smetoun,Female,59.0,Assistant Professor,Argiculture,Mass Customer,N,Yes,14.0,49.0,20924 Banding Crossing,2516.0,NSW,Australia,9.0,3149,85,2017-11-17,1,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,1999-07-26,547.28
3082,1006,Norbert,Gotcher,Male,15.0,Quality Control Specialist,Telecommunications,Affluent Customer,N,Yes,19.0,46.0,3383 Fair Oaks Circle,3046.0,VIC,Australia,8.0,3151,72,2017-06-19,0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2004-07-25,90.09999999999997
3083,639,Mayor,Ismay,Male,51.0,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16.0,49.0,44 Upham Crossing,2148.0,NSW,Australia,7.0,3152,11,2017-02-21,0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,2007-08-04,509.97
3084,392,Brandyn,Morrid,Male,38.0,Safety Technician I,Property,Mass Customer,N,No,13.0,45.0,75 Bartillon Street,3228.0,VIC,Australia,8.0,3153,46,2017-07-14,0,Approved,Solex,Standard,low,medium,1289.85,74.51,2007-12-11,1215.34
3085,723,Madelina,Marte,Female,41.0,Food Chemist,Health,Mass Customer,N,Yes,6.0,60.0,68861 School Hill,2199.0,NSW,Australia,9.0,3154,80,2017-01-10,1,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1991-07-10,139.2299999999999
3086,3487,Amalee,Sanderson,Female,4.0,Analyst Programmer,Health,High Net Worth,N,No,18.0,45.0,30011 Manufacturers Hill,3146.0,VIC,Australia,9.0,3155,32,2017-05-17,0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,1997-08-25,471.6
3087,2410,Eugenia,Verey,Female,75.0,Geological Engineer,Manufacturing,Mass Customer,N,Yes,21.0,49.0,75351 Ridgeview Lane,3181.0,VIC,Australia,11.0,3156,7,2017-10-29,0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,1991-11-07,745.94
3089,2891,Renae,Ughetti,Female,5.0,Nuclear Power Engineer,Manufacturing,High Net Worth,N,Yes,12.0,36.0,32 Calypso Park,2481.0,NSW,Australia,11.0,3158,89,2017-03-15,0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,2010-06-07,1230.27
3090,1736,Garrek,Rowbotham,Male,83.0,Associate Professor,IT,Affluent Customer,N,No,4.0,25.0,2538 Gateway Pass,4152.0,QLD,Australia,4.0,3159,36,2017-09-29,1,Approved,Solex,Standard,low,medium,945.04,507.58,1995-12-19,437.46
3091,1660,Justinian,Jekyll,Male,85.0,Internal Auditor,Retail,Affluent Customer,N,No,15.0,43.0,208 Golden Leaf Pass,3195.0,VIC,Australia,10.0,3160,81,2017-08-02,1,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,1991-07-10,64.50999999999999
3092,1120,Jacquelyn,Rowlinson,Female,87.0,Web Developer IV,Retail,Affluent Customer,N,No,12.0,43.0,03 6th Alley,2168.0,NSW,Australia,9.0,3161,9,2017-03-15,1,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,1991-11-07,75.13999999999999
3093,915,Austina,Orrice,Female,17.0,Budget/Accounting Analyst IV,Entertainment,Mass Customer,N,No,7.0,38.0,69278 High Crossing Place,2795.0,NSW,Australia,5.0,3162,91,2017-12-02,1,Approved,Solex,Standard,medium,medium,100.35,75.26,1999-07-26,25.08999999999999
3094,3484,Hedi,Mowday,Female,10.0,Information Systems Manager,Financial Services,High Net Worth,N,Yes,20.0,46.0,3 Butterfield Trail,4519.0,QLD,Australia,6.0,3163,69,2017-09-03,0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2004-01-16,445.2099999999999
3096,51,Fidelio,Dilke,Male,68.0,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0,63.0,4853 Gulseth Avenue,4503.0,QLD,Australia,5.0,3165,77,2017-08-22,0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-10,445.2099999999999
3097,3258,Hettie,Godden,Female,77.0,Sales Representative,Retail,Mass Customer,N,Yes,18.0,44.0,5 Stone Corner Parkway,2093.0,NSW,Australia,9.0,3166,80,2017-05-17,1,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1991-07-10,139.2299999999999
3098,986,Barnard,Stranks,Male,3.0,Office Assistant I,Manufacturing,Mass Customer,N,Yes,8.0,28.0,82 Shasta Drive,4825.0,QLD,Australia,3.0,3167,3,2017-08-31,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-15,1702.5499999999997
3100,2392,Isadora,Gronaller,Female,48.0,Marketing Assistant,Manufacturing,Affluent Customer,N,No,2.0,22.0,69810 Westridge Avenue,2573.0,NSW,Australia,6.0,3169,25,2017-12-04,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04,709.34
3101,263,Tonia,Leigh,Female,89.0,Dental Hygienist,Health,High Net Worth,N,No,7.0,37.0,50 Everett Way,2064.0,NSW,Australia,9.0,3170,0,2017-11-05,0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10,72.59999999999997
3102,2956,Thedric,Bolding,Male,17.0,Quality Control Specialist,Telecommunications,Mass Customer,N,Yes,19.0,63.0,8007 Dawn Terrace,2166.0,NSW,Australia,9.0,3171,14,2017-08-28,1,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,2009-03-08,152.54999999999995
3103,2488,Idalia,Braunton,Female,32.0,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,7.0,34.0,24649 Kennedy Street,2114.0,NSW,Australia,8.0,3172,94,2017-06-30,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2016-03-29,641.64
3104,1798,Eunice,Risom,Female,46.0,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,1.0,22.0,93 Lakeland Court,3810.0,VIC,Australia,6.0,3173,13,2017-10-27,0,Approved,Solex,Standard,medium,medium,1577.53,826.51,2007-12-11,751.02
3105,2873,Elvina,Saiger,Female,59.0,Cost Accountant,Financial Services,Mass Customer,N,No,13.0,42.0,62293 Raven Parkway,2486.0,NSW,Australia,8.0,3174,2,2017-02-26,1,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02,17.869999999999997
3106,1240,Pen,Earey,Female,64.0,Sales Associate,Manufacturing,Mass Customer,N,Yes,19.0,58.0,92 Waubesa Center,2760.0,NSW,Australia,8.0,3175,3,2017-12-25,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2005-08-09,1702.5499999999997
3107,952,Marina,Andresen,Female,34.0,VP Sales,Financial Services,Affluent Customer,N,Yes,6.0,52.0,283 Ryan Street,3752.0,VIC,Australia,7.0,3176,39,2017-01-25,0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,2008-03-19,1230.27
3108,2221,Tye,Scottini,Male,80.0,General Manager,Argiculture,Affluent Customer,N,No,7.0,27.0,48 Laurel Parkway,4017.0,QLD,Australia,5.0,3177,3,2017-09-27,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2011-08-24,1702.5499999999997
3109,1863,Adelbert,Doelle,Male,10.0,VP Product Management,Telecommunications,High Net Worth,N,No,20.0,45.0,904 Mandrake Parkway,2820.0,NSW,Australia,1.0,3178,97,2017-01-29,0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,1991-11-07,75.13999999999999
3110,3278,Marcel,Eddolls,Male,66.0,VP Product Management,Financial Services,Affluent Customer,N,No,9.0,41.0,31601 Birchwood Court,4105.0,QLD,Australia,8.0,3179,61,2017-02-22,1,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-17,14.229999999999997
3112,2601,Morgana,Wardel,Female,48.0,Software Engineer III,Financial Services,Affluent Customer,N,No,13.0,48.0,9 Cambridge Junction,2315.0,NSW,Australia,7.0,3181,51,2017-01-18,1,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,2012-04-10,802.26
3115,1410,Althea,Macvey,Female,10.0,Marketing Manager,Retail,High Net Worth,N,Yes,6.0,26.0,4370 Haas Trail,2870.0,NSW,Australia,5.0,3184,38,2017-10-30,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2011-05-09,1702.5499999999997
3116,1798,Eunice,Risom,Female,46.0,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,1.0,22.0,93 Lakeland Court,3810.0,VIC,Australia,6.0,3185,35,2017-04-20,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2011-08-29,448.67999999999995
3117,3118,Cleveland,Coxon,Male,54.0,Occupational Therapist,Health,High Net Worth,N,No,9.0,30.0,81183 Maple Wood Plaza,4152.0,QLD,Australia,8.0,3186,80,2017-11-17,1,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2012-05-18,872.8900000000001
3118,3299,Sybille,Ballsdon,Female,27.0,Systems Administrator II,Manufacturing,Affluent Customer,N,Yes,12.0,43.0,402 Clyde Gallagher Terrace,3153.0,VIC,Australia,6.0,3187,37,2017-11-30,0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1997-05-10,1544.6100000000001
3119,1550,Nell,MacCafferky,Female,3.0,Programmer Analyst II,IT,Mass Customer,N,Yes,12.0,36.0,4 Sutteridge Trail,2153.0,NSW,Australia,10.0,3188,34,2017-03-26,1,Approved,Norco Bicycles,Road,high,large,774.53,464.72,1994-07-12,309.80999999999995
3120,263,Tonia,Leigh,Female,89.0,Dental Hygienist,Health,High Net Worth,N,No,7.0,37.0,50 Everett Way,2064.0,NSW,Australia,9.0,3189,69,2017-04-09,0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-10,445.2099999999999
3121,489,Tresa,Reeks,Female,18.0,Senior Editor,Retail,Mass Customer,N,Yes,4.0,52.0,3743 Melody Avenue,3550.0,Victoria,Australia,4.0,3190,84,2017-07-14,0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2004-12-18,75.48000000000002
3122,117,Nance,Suttling,Female,75.0,Marketing Manager,Manufacturing,Mass Customer,N,No,15.0,41.0,185 Pennsylvania Way,4226.0,QLD,Australia,6.0,3191,48,2017-06-19,1,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,2016-11-14,812.44
3123,1832,Elicia,Normanvill,Female,53.0,Programmer Analyst III,Manufacturing,Mass Customer,N,Yes,12.0,58.0,16 Monument Place,4701.0,QLD,Australia,3.0,3192,91,2017-02-08,0,Approved,Solex,Standard,medium,medium,100.35,75.26,2003-01-05,25.08999999999999
3124,347,Berkly,Grishinov,Male,50.0,Marketing Manager,Financial Services,Mass Customer,N,No,9.0,58.0,3 Moulton Lane,2153.0,NSW,Australia,9.0,3193,37,2017-08-02,0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1998-12-17,1544.6100000000001
3126,1470,Albie,Pach,Male,62.0,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,8.0,27.0,04 Gulseth Plaza,2528.0,NSW,Australia,8.0,3196,0,2017-11-27,0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2016-03-29,72.59999999999997
3128,3242,Lib,Schohier,Female,4.0,General Manager,Manufacturing,Affluent Customer,N,Yes,14.0,65.0,683 Scoville Park,3168.0,VIC,Australia,8.0,3198,44,2017-10-07,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2008-03-19,1660.88
3129,304,Paddy,Mumbray,Male,36.0,VP Marketing,Manufacturing,Mass Customer,N,Yes,15.0,54.0,91193 Petterle Road,2035.0,NSW,Australia,11.0,3199,92,2017-10-11,0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2002-10-10,155.6500000000001
3130,247,Kristal,Joysey,Female,62.0,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,40.0,2 2nd Plaza,2283.0,NSW,Australia,4.0,3200,0,2017-01-21,1,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2003-02-16,43.97
3131,2755,Karen,La Wille,Female,66.0,Automation Specialist I,Manufacturing,Mass Customer,N,Yes,1.0,24.0,2241 Pearson Plaza,4503.0,QLD,Australia,6.0,3202,2,2017-09-03,0,Approved,Solex,Standard,medium,medium,71.49,53.62,2011-08-29,17.869999999999997
3132,2132,Davina,Dougary,Female,16.0,Human Resources Manager,Financial Services,High Net Worth,N,Yes,22.0,38.0,7518 Canary Parkway,2145.0,NSW,Australia,9.0,3203,95,2017-07-15,1,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,2005-05-10,139.2299999999999
3135,1779,Krishnah,Firmage,Male,55.0,Information Systems Manager,Argiculture,Affluent Customer,N,No,5.0,26.0,6238 Hanover Crossing,3141.0,VIC,Australia,7.0,3206,16,2017-05-07,0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,1992-10-11,182.81000000000017
3136,430,Janice,Himsworth,Female,46.0,Paralegal,Financial Services,High Net Worth,N,Yes,11.0,50.0,8078 Talisman Trail,4209.0,QLD,Australia,7.0,3207,23,2017-08-28,0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,2003-01-05,817.36
3137,3423,Griselda,Bezants,Female,57.0,Registered Nurse,Health,Affluent Customer,N,No,1.0,23.0,9 Ronald Regan Center,3094.0,VIC,Australia,9.0,3208,69,2017-04-11,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-02,198.22000000000003
3139,1237,Junia,Humerstone,Female,6.0,Research Nurse,Health,High Net Worth,N,No,16.0,53.0,17357 Katie Center,3677.0,VIC,Australia,4.0,3210,12,2017-07-09,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25,1055.82
3140,991,Lenna,Coales,Female,11.0,Financial Analyst,Financial Services,Mass Customer,N,Yes,10.0,31.0,00745 Huxley Center,3757.0,VIC,Australia,9.0,3211,47,2017-08-05,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2006-10-01,189.27999999999997
3144,1954,Greg,Iacovo,Male,88.0,VP Sales,Manufacturing,Affluent Customer,N,No,5.0,55.0,71 Orin Crossing,2155.0,NSW,Australia,9.0,3215,98,2017-09-21,1,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,2004-01-16,143.35999999999999
3145,2539,Tracie,Ashdown,Male,68.0,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,Yes,12.0,56.0,0166 Stephen Drive,2785.0,NSW,Australia,7.0,3216,33,2017-10-15,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,144.26
3146,3184,Marlee,Brundle,Female,2.0,Civil Engineer,Manufacturing,Affluent Customer,N,Yes,7.0,46.0,696 Harbort Junction,2196.0,NSW,Australia,10.0,3217,70,2017-09-19,1,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2004-07-25,198.29000000000002
3147,127,Merrili,Whitear,Female,81.0,Compensation Analyst,Financial Services,Mass Customer,N,No,19.0,48.0,0 Pearson Crossing,4405.0,QLD,Australia,1.0,3218,26,2017-03-03,0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,1993-05-26,1230.3000000000002
3148,477,Cheri,Hazeman,Female,32.0,Media Manager II,Financial Services,High Net Worth,N,Yes,13.0,62.0,6674 Russell Center,2197.0,NSW,Australia,9.0,3219,19,2017-08-03,1,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,1993-04-20,114.93
3149,389,Dorene,Scrivner,Female,97.0,Help Desk Operator,Entertainment,Affluent Customer,N,Yes,17.0,48.0,8 Holy Cross Center,2047.0,NSW,Australia,9.0,3220,61,2017-09-08,1,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,1992-10-02,14.229999999999997
3150,2058,Ronna,Wickersham,Female,99.0,Database Administrator I,Argiculture,High Net Worth,N,No,7.0,45.0,9362 Grim Plaza,4702.0,QLD,Australia,1.0,3221,0,2017-03-19,0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10,72.59999999999997
3151,1095,Emelda,Gerler,Female,2.0,Project Manager,Health,Mass Customer,N,No,6.0,65.0,04 Onsgard Center,2101.0,NSW,Australia,9.0,3222,40,2017-05-26,0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,1991-08-05,583.2700000000001
3152,2610,Arliene,Bartolijn,Female,41.0,Account Coordinator,IT,Mass Customer,N,No,10.0,69.0,1031 Kennedy Way,4507.0,QLD,Australia,7.0,3223,13,2017-08-05,1,Approved,Solex,Standard,medium,medium,1163.89,589.27,2016-07-09,574.6200000000001
3153,2049,Jud,Purchon,Male,21.0,Assistant Professor,Manufacturing,High Net Worth,N,No,5.0,61.0,0 Red Cloud Place,2217.0,NSW,Australia,8.0,3224,92,2017-10-26,0,Cancelled,WeareA2B,Touring,medium,large,1890.39,260.14,1991-01-21,1630.25
3156,333,Debbi,Doohey,Female,25.0,Sales Associate,Financial Services,Affluent Customer,N,Yes,8.0,58.0,314 Northland Plaza,4213.0,QLD,Australia,5.0,3227,12,2017-06-18,0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2016-07-09,1069.5500000000002
3158,2130,Evangelina,Coxhell,Female,95.0,Structural Engineer,Property,High Net Worth,N,Yes,16.0,33.0,26064 Morningstar Junction,2480.0,NSW,Australia,2.0,3229,2,2017-05-03,0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2015-04-11,64.92999999999995
3160,2263,Lois,Sorel,Female,79.0,Professor,Argiculture,Mass Customer,N,Yes,21.0,36.0,71109 Vernon Way,3350.0,VIC,Australia,4.0,3231,53,2017-10-31,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,2015-06-17,693.76
3162,1663,Analiese,Grimsditch,Female,68.0,VP Quality Control,Property,High Net Worth,N,Yes,9.0,45.0,1041 Center Road,2155.0,NSW,Australia,10.0,3233,50,2017-02-08,0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2011-03-16,431.33000000000004
3163,1552,Cully,Mangeon,Male,80.0,Research Associate,Entertainment,Mass Customer,N,Yes,8.0,35.0,8 Bobwhite Park,2768.0,NSW,Australia,10.0,3234,12,2017-08-13,0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2005-12-07,1069.5500000000002
3164,1318,Barbe,Assender,Female,10.0,Senior Developer,Financial Services,Mass Customer,N,Yes,4.0,57.0,889 Straubel Way,4055.0,QLD,Australia,6.0,3235,43,2017-12-23,0,Approved,Solex,Standard,medium,medium,1151.96,649.49,1993-04-12,502.47
3165,310,Myranda,Clowser,Female,0.0,Account Coordinator,Financial Services,Mass Customer,N,Yes,18.0,38.0,06 Corry Pass,2450.0,NSW,Australia,9.0,3236,62,2017-12-22,0,Approved,Solex,Standard,medium,medium,478.16,298.72,2015-04-11,179.44
3166,1895,Leese,Lohan,Female,53.0,Technical Writer,Manufacturing,Mass Customer,N,No,15.0,47.0,0 Corben Court,3121.0,VIC,Australia,11.0,3237,69,2017-08-30,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-02,198.22000000000003
3170,3087,Gerry,Scatcher,Male,64.0,Social Worker,Health,Mass Customer,N,No,9.0,37.0,233 Toban Alley,2567.0,NSW,Australia,8.0,3241,66,2017-05-23,0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2010-11-05,64.92999999999995
3171,1607,Tiffani,Van Castele,Female,39.0,Marketing Assistant,Retail,Mass Customer,N,Yes,15.0,35.0,5 Algoma Point,3809.0,VIC,Australia,5.0,3242,20,2017-10-14,0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,1991-08-05,195.33999999999992
3172,2777,Dita,Darlison,Female,0.0,Safety Technician III,Health,Mass Customer,N,Yes,1.0,26.0,39 Badeau Court,2572.0,NSW,Australia,8.0,3243,35,2017-09-18,0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,2011-03-16,903.11
3173,1814,Shawn,Platfoot,Female,33.0,Web Designer IV,Retail,Affluent Customer,N,No,17.0,35.0,91 Mosinee Point,2166.0,NSW,Australia,5.0,3244,91,2017-08-21,1,Approved,Solex,Standard,medium,medium,100.35,75.26,1999-07-26,25.08999999999999
3177,3146,Fredrika,Kleinmintz,Female,79.0,Project Manager,Property,Mass Customer,N,No,15.0,45.0,07084 Mallory Center,2428.0,NSW,Australia,5.0,3248,17,2017-06-22,0,Approved,Solex,Standard,high,medium,1024.66,614.8,2010-11-05,409.8600000000001
3178,695,Kevan,Kubal,Male,36.0,Engineer II,Health,High Net Worth,N,No,11.0,45.0,02 Bartelt Center,2745.0,NSW,Australia,8.0,3249,25,2017-08-13,1,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,2012-04-10,802.26
3179,2952,Cristy,McQuirter,Female,28.0,Senior Developer,Manufacturing,High Net Worth,N,Yes,16.0,48.0,10 Kensington Avenue,2117.0,NSW,Australia,10.0,3250,11,2017-07-06,0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,1993-05-26,195.33999999999992
3182,169,Alfy,Bruhnke,Male,20.0,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5.0,65.0,93 Iowa Junction,2116.0,NSW,Australia,9.0,3253,53,2017-01-21,1,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,1994-09-09,509.97
3183,1000,Paulie,Castelot,Female,44.0,Compensation Analyst,Financial Services,Mass Customer,N,No,11.0,45.0,4757 Texas Trail,3136.0,VIC,Australia,9.0,3254,75,2017-12-30,0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2006-05-22,1010.02
3186,3142,Hubert,Kliner,Male,98.0,Electrical Engineer,Manufacturing,Mass Customer,N,No,6.0,31.0,13 Basil Lane,2036.0,NSW,Australia,9.0,3257,76,2017-12-18,1,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2014-10-10,128.45999999999992
3187,1052,Dela,Flannigan,Female,31.0,Junior Executive,Financial Services,High Net Worth,N,No,3.0,37.0,06 Declaration Hill,3184.0,VIC,Australia,11.0,3258,64,2017-08-15,0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2011-08-24,217.51
3188,3375,Thorsten,Gregon,Male,37.0,Accounting Assistant I,Financial Services,High Net Worth,N,Yes,6.0,30.0,2782 Stephen Trail,2216.0,NSW,Australia,10.0,3259,88,2017-01-05,1,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,1996-11-09,182.81000000000017
3189,3170,Bethanne,Kytter,Female,67.0,Nurse Practicioner,Entertainment,Mass Customer,N,No,11.0,55.0,13 Marcy Alley,3138.0,VIC,Australia,8.0,3261,46,2017-08-30,0,Approved,Solex,Standard,low,medium,1289.85,74.51,2007-12-11,1215.34
3191,649,Krissie,Dinan,Female,23.0,Legal Assistant,Financial Services,Mass Customer,N,Yes,10.0,48.0,41759 Crowley Circle,2560.0,NSW,Australia,8.0,3263,66,2017-11-05,0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2016-12-06,64.92999999999995
3192,2500,Micky,Livings,Female,35.0,Senior Developer,Property,High Net Worth,N,Yes,17.0,65.0,556 Gale Road,4165.0,QLD,Australia,6.0,3264,50,2017-12-07,1,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2010-06-07,431.33000000000004
3193,3249,Cortney,Leet,Female,46.0,Analog Circuit Design manager,Manufacturing,Mass Customer,N,Yes,14.0,42.0,49 Surrey Pass,2325.0,NSW,Australia,4.0,3265,93,2017-10-01,1,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,1991-11-07,834.9399999999999
3194,1396,Sinclair,Melonby,Male,20.0,Cost Accountant,Financial Services,Mass Customer,N,No,18.0,35.0,8108 Clyde Gallagher Crossing,3756.0,VIC,Australia,4.0,3266,48,2017-05-17,1,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,2014-07-28,812.44
3196,2861,Cecelia,Franzini,Female,4.0,VP Quality Control,Financial Services,Mass Customer,N,Yes,4.0,48.0,12689 Logan Terrace,4154.0,QLD,Australia,9.0,3268,86,2017-09-29,1,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1993-04-20,110.56
3197,2379,Trixie,Piscopiello,Female,85.0,Occupational Therapist,Health,Affluent Customer,N,Yes,15.0,42.0,5390 Park Meadow Park,2222.0,NSW,Australia,10.0,3269,71,2017-06-18,1,Approved,Solex,Standard,high,large,1842.92,1105.75,2014-10-10,737.1700000000001
3198,380,Teriann,Birdsey,Female,66.0,Structural Engineer,Property,Mass Customer,N,No,17.0,67.0,24 Scoville Parkway,4670.0,QLD,Australia,1.0,3270,70,2017-08-05,1,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-11,198.29000000000002
3201,1731,Aigneis,MacKall,Female,26.0,Health Coach III,Health,High Net Worth,N,Yes,19.0,64.0,0672 Mitchell Terrace,4161.0,QLD,Australia,5.0,3273,0,2017-10-25,1,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1991-11-10,110.80999999999995
3202,1084,Serena,Jagson,Female,54.0,Accounting Assistant I,Retail,Affluent Customer,N,No,8.0,29.0,24596 Hoepker Avenue,2322.0,NSW,Australia,4.0,3274,56,2017-11-18,1,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1997-10-04,45.96000000000001
3204,516,Craggy,Loadsman,Male,23.0,Environmental Tech,Financial Services,Mass Customer,N,No,20.0,65.0,1 Vidon Pass,2233.0,NSW,Australia,8.0,3276,82,2017-11-01,1,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,2015-08-10,459.46000000000015
3205,3015,Queenie,Flips,Female,25.0,Assistant Manager,Retail,Affluent Customer,N,No,1.0,22.0,2942 Swallow Trail,4214.0,QLD,Australia,9.0,3277,3,2017-04-21,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1993-05-26,1702.5499999999997
3206,2093,Salem,Doiley,Male,94.0,Programmer II,Financial Services,High Net Worth,N,No,2.0,23.0,9953 Kim Lane,2330.0,NSW,Australia,4.0,3278,92,2017-04-22,1,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1991-01-21,1630.25
